"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1968141669565678015","Wed Sep 17 02:35:14 +0000 2025","0","Asisten Penyuluh Pajak Kantor Pelayanan Pajak (KPP) Pratama Balige telah melaksanakan kegiatan sosialisasi implementasi Aplikasi Coretax bagi Wajib Pajak Instansi Pemerintahan Desa di Aula Kantor Bupati Samosir (10/09). https://t.co/mmF1iyBa7t","1968141669565678015","https://pbs.twimg.com/media/G1A-X3naAAAe5nU.jpg","","in","","0","0","0","https://x.com/undefined/status/1968141669565678015","3170479123",
"1967844288735350805","Wed Sep 17 02:19:36 +0000 2025","0","@naruhoodo Hai Kak. Terkait tombol PDF pada Pajak Masukan yang tidak muncul apabila Faktur Pajak tersebut sebelumnya diterbitkan oleh PKP penjual melalui aplikasi E-Faktur Desktop maka tampilan pada E-Faktur Coretax tidak dimunculkan tombol PDF untuk saat ini. Jika diperlukan silakan","1968137733798531522","","naruhoodo","in","","0","1","0","https://x.com/undefined/status/1968137733798531522","4564565058",
"1968137282470416472","Wed Sep 17 02:17:49 +0000 2025","2","@kring_pajak Mohon informasi sudah 3 hari terakhir website Coretax tidak bisa diakses untuk pembuatan NPWP tanpa NIK (bagi WNA). https://t.co/bPkUFxwZs9","1968137282470416472","https://pbs.twimg.com/media/G1A6bJ9aEAAPPNb.jpg","kring_pajak","in","","0","1","1","https://x.com/undefined/status/1968137282470416472","2814856464",
"1967869810609623415","Wed Sep 17 02:14:23 +0000 2025","0","@aywdry Hai Kak. Mohon maaf atas ketidaknyamanannya. Apakah masih mengalami kendala? Saat ini belum ada pemberitahuan resmi terkait error laman Coretax. Silakan Kakak dapat mencoba langkah-langkah berikut: 1. Pastikan koneksi internet stabil; 2. Clear cache &amp; cookies pada browser yang","1968136419999900147","","aywdry","in","","0","2","0","https://x.com/undefined/status/1968136419999900147","4564565058",
"1968135770742595757","Wed Sep 17 02:11:48 +0000 2025","0","@kring_pajak mohon petujuknya terkait ekspor menggunakan consigment note (CN) atau AWB saja tanpa PEB apakah harus dilaporkan pada lampiran A1 di SPT PPN Coretax mohon dasar hukumnya. Terimakasih","1968135770742595757","","kring_pajak","in","","0","1","0","https://x.com/undefined/status/1968135770742595757","274894001",
"1967540225565245865","Wed Sep 17 02:08:11 +0000 2025","0","@Jenny7888 Hai Kak. Terkait pengajuan NPWP Non Aktif persyaratan pengajuan WP Non Aktif tercantum pada pasal 34 PER-07/PJ/2025. Apabila Wajib Pajak memenuhi kriteria tersebut silakan mengajukan permohonan penetapan WP Non Aktif melalui KPP atau secara mandiri melalui akun Coretax.","1968134858926166109","","Jenny7888","in","","0","1","0","https://x.com/undefined/status/1968134858926166109","4564565058",
"1968133873516400914","Wed Sep 17 02:04:16 +0000 2025","1","cORETAX ERROR MULU NGEPET","1968133873516400914","","","in","","0","0","0","https://x.com/undefined/status/1968133873516400914","1238363768892997632",
"1968132884436529581","Wed Sep 17 02:00:20 +0000 2025","1","astagfirullah ya coretax ga bener2 ya internet + komputer2nya lemot lengkap bgt dah cobaan bulan ini‍","1968132884436529581","","","in","","0","0","0","https://x.com/undefined/status/1968132884436529581","1557521737",
"1968132384030921049","Wed Sep 17 01:58:21 +0000 2025","1","@kring_pajak minta reset password dikirim link buat ganti password tapi linknya ga bisa diklik busuk banget web coretax wkwk","1968132384030921049","","kring_pajak","in","","0","2","0","https://x.com/undefined/status/1968132384030921049","473547896",
"1968131577801798013","Wed Sep 17 01:55:08 +0000 2025","1","Makin bercandanya coretax coretax ini Masa ga bisa dibuka","1968131577801798013","","","in","","0","0","0","https://x.com/undefined/status/1968131577801798013","162997825",
